Product_ID,Product_Code,Product_Name,MRP,PTR,PTS_Rate,Available_Stock,Stockist_ID,manufacture,Pack_Size,Scheme,HSN,Expiry_Date,GST,is_brand,ED_Code,MinQty,MaxQty
10415209,J0044516,"1-AL  5 MG TABLET-J0044516",35.72,27.22,24.49,25,756,FDC,10`S,,,01-03-2027,5,0,ED000000007,0,0
1684101,J0002027,"1-AL 10 TABLET-J0002027",86.63,66,59.99,14,756,FDC,"15,S",,,31-07-2026,5,0,ED000000005,0,0
2691341,J0002028,"1-AL M TABLET-J0002028",103.13,78.57,63.64,8,756,FDC,10`S,,,31-12-2026,5,0,ED000000009,0,0
2691344,J0002048,"1-AL SYRUP-J0002048",47.64,36.3,32.67,18,756,FDC,30ML,,,01-07-2027,5,0,ED000000006,0,0
17017251,PROD7025,"1M DUSTING POWDER-PROD7025",110.63,84.29,75.86,35,756,"OZONE 3","100 GM","2 + 1, 1 + 33.33%",,31-05-2028,5,0,ED000243425,1,-1
5200350,J00016131,"3 PLY DISPOSABLE KIDS MASK-J00016131",0,95,85.71,2,756,S.ROMSONS,50`S,,,31-01-2027,5,0,ED000184322,0,0
3548860,J0019952,"3 PLY SURGICAL FACE MASK WITH NOSE CLIP-J0019952",10,1.5,1.01,4431,756,S.ENTERO,1*100NO,,,30-09-2029,5,0,ED000174770,0,0
1697920,J0002077,"36 D 60K CAPSULE-J0002077",128.91,98.21,88.39,6,756,HETERO,4`S,,,31-08-2026,5,0,ED000000074,0,0
6136611,J0041098,"360 BLOCK SUNSCREEN GEL SPF 50+ GEL-J0041098",899,609.49,548.53,30,756,ETHICARE,50GM,,,31-05-2027,18,0,ED000129408,0,0
2690183,J0002080,"4 QUIN EYE DROPS-J0002080",160.31,122.14,109.93,37,756,ENTOD,5ML,,,30-11-2026,5,0,ED000000100,0,0
4168490,J0037800,"4 QUIN EYE OINTMENT-J0037800",141.56,107.86,97.07,20,756,ENTOD,5GM,,,31-07-2027,5,0,ED000125055,0,0
14446980,PROD3873,"4 QUIN KT EYE DROPS-PROD3873",135,102.86,92.57,11,756,ENTOD,5ML,,,31-10-2026,5,0,ED000000109,1,-1
14446973,PROD3865,"4 QUIN LOT EYE DROPS-PROD3865",225.94,172.14,154.93,35,756,ENTOD,5ML,,,31-07-2027,5,0,ED000000110,1,-1
8120529,J0050198,"4 QUIN-BROM EYE DROPS-J0050198",181.88,138.57,124.71,3,756,ENTOD,5ML,,,30-04-2026,5,0,ED000000105,0,0
2690182,J0002079,"4 QUIN-D EYE DROPS-J0002079",112.5,85.71,77.14,10,756,ENTOD,5ML,,,31-03-2027,5,0,ED000000106,0,0
12898543,PROD1750,"4PCOS TABLET-PROD1750",262.5,200,180,1,756,OZONE,10,"5 + 1, 3 + 16.67%",,31-07-2027,5,0,ED000205416,1,-1
2691352,J0002088,"4U-Q10 CAPSULE-J0002088",482.11,367.32,330.59,11,756,"D.R JOHNS","10,S","10 + 1, 5 + 9.09%",,28-02-2027,5,0,ED000000118,0,0
2691353,J0002090,"4U-Q10 PLUS CAPSULE-J0002090",538.83,410.52,369.48,12,756,"D.R JOHNS",10,,,31-01-2027,5,0,ED000000122,0,0
9837831,J0043846,"7-LA SUSPENSION-J0043846",122.81,93.57,75.79,60,756,FDC,250ML,,,01-10-2026,5,0,ED000198236,0,0
19848593,PROD7706,"8X KT SHAMPOO-PROD7706",490,373.33,336,16,756,CIPLA,"100 ML",,,30-09-2027,5,0,ED000249615,1,-1
